Factory Code,Factory Group,Factory Name,Factory Email 1,Factory Email 2
FC0001,Sports Equipment,Chang-Fisher Group,tammybrown@moore.com,gomezdavid@johnson.com
FC0002,Accessories,Sheppard-Tucker Group,awade@maldonado-mccullough.net,chad23@harris.com
FC0003,Sports Equipment,Faulkner-Howard Inc.,deborah64@castro.info,carterhannah@hall.info
FC0004,Bags & Gear,Wagner LLC LLC,rogersbrandon@taylor-gill.info,jasmine42@levy.com
FC0005,Sports Equipment,Campos PLC Group,chelsea59@nash.biz,swoodward@fields.com
FC0006,Bags & Gear,Archer-Patel Group,smithjames@moore-walker.info,eric22@stewart.com
FC0007,Accessories,"Patrick, Barrera and Collins LLC",rpage@baxter.org,kellybarnes@callahan.com
FC0008,Sports Equipment,"Jones, Jefferson and Rivera Group",tbarton@martin.com,emiller@fisher.biz
FC0009,Sports Equipment,"Garcia, Hamilton and Carr LLC",seandyer@munoz.com,brittanyevans@miller-wallace.com
FC0010,Sports Equipment,Levy Group Ltd.,mary06@dunn.com,bennettalan@valenzuela.info
FC0011,Athletic Apparel,Grimes-Green Ltd.,valeriemorales@butler.com,clementslaura@rodriguez-jacobs.com
FC0012,Sports Equipment,"Moon, Davis and Larsen LLC",leecharlene@russo.com,lhebert@reynolds-wright.info
FC0013,Athletic Apparel,"Summers, Barnett and Smith Ltd.",alvarezsandra@miller.com,sharon25@welch-miller.com
FC0014,Footwear,Clayton-Cook Inc.,dennis85@wiggins.com,aaron79@smith-evans.com
FC0015,Footwear,"Nguyen, Harrell and Lee LLC",williamserin@edwards.com,rogerpotter@gregory.net
FC0016,Accessories,"Walker, Pratt and Thomas Ltd.",djoseph@graham.biz,bramirez@nelson.com
FC0017,Accessories,"West, Miller and Flores LLC",alan24@morgan-richardson.com,scottalicia@mckinney.com
FC0018,Sports Equipment,"Bolton, Burns and Turner Inc.",kimberly00@martin-holden.com,monica39@johnson.com
FC0019,Footwear,Mann-Kelley Inc.,ralph82@wilson-cross.com,david32@perry.com
FC0020,Accessories,"Harris, Lloyd and Payne LLC",hayden81@powell-murphy.biz,audreyburton@garcia.com
FC0021,Bags & Gear,Wallace-Carlson Group,garciaregina@rogers-yates.com,scott92@martinez.biz
FC0022,Bags & Gear,Stewart-Allen Inc.,mendozaholly@johnson-rogers.com,igarza@barnett.biz
FC0023,Bags & Gear,Lopez and Sons LLC,courtneybennett@miller.com,thomasneal@vasquez-mullen.info
FC0024,Bags & Gear,Salazar Ltd Group,cruzcorey@stone.org,douglas70@lewis.com
FC0025,Bags & Gear,Alvarez-Davis LLC,rodneyrichardson@richards-jackson.com,mcdanielchristopher@middleton.com
FC0026,Sports Equipment,Mcdowell Inc Ltd.,danny08@goodwin-harris.info,keymorgan@carter.org
FC0027,Athletic Apparel,Villanueva PLC Group,pscott@shea.org,james67@rivera.biz
FC0028,Accessories,"Myers, Thornton and Hill Group",danielellis@payne-hernandez.org,sethfletcher@stewart.com
FC0029,Athletic Apparel,Atkinson Ltd LLC,zhernandez@frazier.com,fsimmons@blair-pope.info
FC0030,Bags & Gear,"Bryan, Barnes and Hill Inc.",obolton@baxter.com,brendawilliams@johnson-schultz.com
FC0031,Bags & Gear,Keller-Davies Inc.,janice55@warren.org,brian23@evans.com
FC0032,Bags & Gear,Miller-Salazar Inc.,meganaguilar@mccarthy.net,robert08@huber.biz
FC0033,Sports Equipment,Matthews-Rogers Group,jonesdavid@smith-anthony.com,thenry@lewis-adams.com
FC0034,Bags & Gear,Sanchez Ltd Inc.,laurenmelton@schmitt-wagner.net,martinadam@smith.com
FC0035,Sports Equipment,Wilson-Robinson Group,berryerika@chang.com,ogrant@lee-franklin.org
FC0036,Sports Equipment,Cook Inc LLC,amanda96@bruce-compton.org,nortonmarcus@barry-scott.net
FC0037,Accessories,Logan Ltd Ltd.,melissayates@mcclure.org,leechristopher@reed.com
FC0038,Bags & Gear,Williams PLC LLC,marvin74@barton-cruz.biz,zachary64@cooper-marquez.com
FC0039,Bags & Gear,"Kent, Ferguson and Becker Inc.",martinselena@mitchell.com,sarah10@simpson-kim.biz
FC0040,Accessories,Martinez and Sons Ltd.,olsondonald@love.com,hstevens@miller.com
FC0041,Footwear,"Greer, Wilson and Davis Ltd.",djohnson@ellis-garcia.com,nhenson@salazar-meyers.net
FC0042,Accessories,Johnson Inc Ltd.,johnsonchristina@nguyen.com,lwilliams@burns.com
FC0043,Sports Equipment,Woodward and Sons Ltd.,xlogan@rodriguez-brown.info,luis61@lam.com
FC0044,Accessories,"Martinez, Clark and Owen Group",debra94@mullen.com,dpalmer@walters.org
FC0045,Bags & Gear,"Johnson, Coleman and Garcia Inc.",stonekristen@johnson.info,thompsonrobert@mitchell.com
FC0046,Athletic Apparel,Jones-Jones Inc.,katherine75@jones.info,htrevino@brewer-wilson.org
FC0047,Accessories,Bell-White LLC,rachel89@liu.net,jerome84@singh.com
FC0048,Footwear,"Mcdonald, Carlson and Lyons Group",hhunter@simmons.biz,emily35@castillo.com
FC0049,Athletic Apparel,Gonzalez-Howard Inc.,wallsrobert@perry.com,michael02@moore-thompson.com
FC0050,Accessories,"Harrison, Barrera and Hudson LLC",ajordan@crawford.com,kathyharrington@hudson-dominguez.com
